postcode,district
12524,Treptow-Köpenick
10961,Friedrichshain-Kreuzberg
13159,Pankow
10318,Lichtenberg
12487,Treptow-Köpenick
10119,Mitte / Pankow
13595,Spandau
12619,Marzahn-Hellersdorf
13435,Reinickendorf
13086,Pankow
13187,Pankow
13156,Pankow
12629,Marzahn-Hellersdorf
12557,Treptow-Köpenick
10367,Lichtenberg
13465,Reinickendorf
13125,Pankow
14053,Charlottenburg-Wilmersdorf
13593,Spandau
10319,Lichtenberg
13467,Reinickendorf
10589,Charlottenburg-Wilmersdorf
10115,Mitte
13439,Reinickendorf
14055,Charlottenburg-Wilmersdorf
10315,Lichtenberg
13591,Spandau
14057,Charlottenburg-Wilmersdorf
12685,Marzahn-Hellersdorf
10789,Tempelhof-Schöneberg
10369,Lichtenberg
12559,Treptow-Köpenick
13357,Mitte
13507,Reinickendorf
13599,Spandau
10247,Friedrichshain-Kreuzberg / Pankow
13059,Lichtenberg
12627,Marzahn-Hellersdorf
13359,Mitte
10587,Charlottenburg-Wilmersdorf
12527,Treptow-Köpenick
13089,Pankow
12621,Marzahn-Hellersdorf
13503,Reinickendorf
12687,Marzahn-Hellersdorf
12689,Marzahn-Hellersdorf
13405,Reinickendorf
10629,Charlottenburg-Wilmersdorf
13355,Mitte
12587,Treptow-Köpenick
13627,Charlottenburg-Wilmersdorf
13407,Mitte
10787,Tempelhof-Schöneberg
10407,Pankow
12589,Treptow-Köpenick
12489,Treptow-Köpenick
13189,Pankow
10249,Friedrichshain-Kreuzberg / Pankow
10409,Pankow
10439,Pankow
10243,Friedrichshain-Kreuzberg
13055,Lichtenberg
13581,Spandau
10825,Tempelhof-Schöneberg
10555,Mitte
10625,Charlottenburg-Wilmersdorf
12679,Marzahn-Hellersdorf
10365,Lichtenberg
10585,Charlottenburg-Wilmersdorf
13057,Lichtenberg
13437,Reinickendorf
10963,Friedrichshain-Kreuzberg
10435,Pankow
10779,Tempelhof-Schöneberg
10715,Charlottenburg-Wilmersdorf
13587,Spandau
12209,Steglitz-Zehlendorf
13158,Pankow
13589,Spandau
12681,Marzahn-Hellersdorf
13629,Spandau
10559,Mitte
13347,Mitte
13505,Reinickendorf
13351,Mitte
13403,Reinickendorf
10557,Mitte
13469,Reinickendorf
10717,Charlottenburg-Wilmersdorf
13127,Pankow
14052,Charlottenburg-Wilmersdorf
12439,Treptow-Köpenick
12683,Marzahn-Hellersdorf
12057,Neukölln
10179,Mitte
12623,Marzahn-Hellersdorf
12051,Neukölln
10623,Charlottenburg-Wilmersdorf
12526,Treptow-Köpenick
10785,Mitte
12459,Treptow-Köpenick
13353,Mitte
12059,Neukölln
13597,Spandau
12437,Treptow-Köpenick
13051,Pankow
12101,Tempelhof-Schöneberg
13509,Reinickendorf
12435,Treptow-Köpenick
14059,Charlottenburg-Wilmersdorf
10711,Charlottenburg-Wilmersdorf
12555,Treptow-Köpenick / Marzahn-Hellersdorf
10783,Tempelhof-Schöneberg
10437,Pankow
14165,Steglitz-Zehlendorf
13053,Lichtenberg
12279,Tempelhof-Schöneberg
12277,Tempelhof-Schöneberg
10967,Friedrichshain-Kreuzberg
14167,Steglitz-Zehlendorf
14163,Steglitz-Zehlendorf
14195,Steglitz-Zehlendorf
12055,Neukölln
12161,Steglitz-Zehlendorf / Tempelhof-Schöneberg
12099,Tempelhof-Schöneberg
12205,Steglitz-Zehlendorf
12249,Steglitz-Zehlendorf
14129,Steglitz-Zehlendorf
12203,Steglitz-Zehlendorf
12159,Tempelhof-Schöneberg
12309,Tempelhof-Schöneberg
12353,Neukölln
12053,Neukölln
10823,Tempelhof-Schöneberg
12247,Steglitz-Zehlendorf
14109,Steglitz-Zehlendorf
10997,Friedrichshain-Kreuzberg
12169,Steglitz-Zehlendorf / Tempelhof-Schöneberg
10707,Charlottenburg-Wilmersdorf
12105,Tempelhof-Schöneberg
12347,Neukölln
14199,Charlottenburg-Wilmersdorf
10781,Tempelhof-Schöneberg
12307,Tempelhof-Schöneberg
12165,Steglitz-Zehlendorf
12167,Steglitz-Zehlendorf
12157,Steglitz-Zehlendorf / Tempelhof-Schöneberg
12103,Tempelhof-Schöneberg
12049,Neukölln
10965,Friedrichshain-Kreuzberg
10709,Charlottenburg-Wilmersdorf
12043,Neukölln
12045,Neukölln
14169,Steglitz-Zehlendorf
10553,Mitte
12359,Neukölln
10999,Friedrichshain-Kreuzberg
10713,Charlottenburg-Wilmersdorf
12107,Tempelhof-Schöneberg
10627,Charlottenburg-Wilmersdorf
12207,Steglitz-Zehlendorf
12047,Neukölln
14193,Steglitz-Zehlendorf / Charlottenburg-Wilmersdorf
10719,Charlottenburg-Wilmersdorf
13409,Mitte / Reinickendorf
10827,Tempelhof-Schöneberg
13349,Mitte
13088,Pankow
13585,Spandau
10829,Tempelhof-Schöneberg
12305,Tempelhof-Schöneberg
12109,Tempelhof-Schöneberg
14050,Charlottenburg-Wilmersdorf
14089,Spandau
12163,Steglitz-Zehlendorf
10317,Lichtenberg
12357,Neukölln
10405,Pankow
12351,Neukölln
10178,Mitte
10969,Friedrichshain-Kreuzberg
10117,Mitte
10551,Mitte
10777,Tempelhof-Schöneberg
13583,Spandau
14197,Charlottenburg-Wilmersdorf
13129,Pankow
12349,Neukölln
12355,Neukölln
10245,Friedrichshain-Kreuzberg
